artist,genre,occurrences,track_name
Stereo Total,Pop,2153,Kleptomane
Mew,Rock,2144,New Terrain
Cut Copy,Pop,2142,Feel the Love
Orbital,Electronic,2139,Blood Is Thicker
New Radicals,Rock,2134,Mother We Just Can't Get Enough
Suicide,Rock,2133,Radiation
Del Tha Funkee Homosapien,Rap,2133,Mistadobalina
Melvins,Rock,2122,Black Stooges
G-Unit,Rap,2121,I'm So Hood
Digable Planets,Rap,2119,Appointment At The Fat Clinic
Crowded House,Rock,2115,It's Only Natural
Ensiferum,Rock,2112,One Man Army
Karnivool,Rock,2110,The Medicine Wears Off
Paradise Lost,Metal,2109,Symbol Of Life
S Club 7,Pop,2105,Bring It All Back
Hellyeah,Metal,2095,HELLYEAH
L7,Rock,2086,This Ain't Pleasure
Haggard,Metal,2086,The Final Victory
Peter Murphy,Rock,2078,Cuts You Up
Patrick Wolf,Rock,2075,Blackdown
Katy Perry,Rock,2073,Hey Hey Hey
Therion,Metal,2073,Here Comes The Tears
BBMak,Pop,2070,Back Here
Godsmack,Country,2069,Speak
The Drums,Rock,2068,Hard To Love
Fuel,Rock,2067,Die Like This
Cocoon,Folk,2067,Owls
Grinderman,Rock,2064,Depth Charge Ethel
Salif Keita,World,2063,Tekere
Cloud Cult,Rock,2061,Everybody Here is a Cloud
Bryan Adams,Rock,2061,Heaven
Youth Lagoon,Rock,2057,Cannons
Soda Stereo,Rock,2048,Cae El Sol
Moonspell,Metal,2044,Slow Down!
Wolfgang Amadeus Mozart,New Age,2041,Benedictus
The Notwist,Rock,2040,Pick Up the Phone
No Age,Rock,2037,Impossible Bouquet
Chromatics,Rock,2036,Lady
The Black Crowes,Rock,2036,Struttin' Blues
Ludovico Einaudi,New Age,2033,Melodia Africana III
Bob Dylan,Rock,2033,Dear Landlord
Conor Oberst,Rock,2031,Get-Well-Cards
Witchfinder General,Metal,2031,Burning a Sinner
Dishwalla,Rock,2030,Angels or Devils
Two Gallants,Rock,2029,Reflections of the Marionette
Demon Hunter,Metal,2027,Deteriorate
Japandroids,Rock,2021,Crazy/Forever
Darondo,Rap,2019,Didn't I
Heaven Shall Burn,Metal,2018,Competition In Hatred
Sabaton,Rock,2017,The Last Battle
Carlos Varela,Latin,2016,Una palabra
Billy Preston,RnB,2012,Nothing From Nothing
Colbie Caillat,Jazz,2006,I Do
Foster the People,Rap,2001,Coming of Age
RJD2,Rock,1997,Ghostwriter
Toro y Moi,Rock,1994,Thanks Vision
Black Grape,Rock,1993,In The Name Of The Father
10 Years,Rock,1993,Cast It Out
Crookers,Electronic,1982,Sveglia
Smile Empty Soul,Rock,1968,California's Lonely
Will Young,Pop,1966,Leave Right Now
Brokencyde,Electronic,1962,Bree Bree
Betraying the Martyrs,Rock,1959,Jigsaw
Luis Miguel,Latin,1953,O Tu O Ninguna
Lebo M,World,1948,He Lives In You
Wilco,Rap,1948,My Darling
Scooter,Electronic,1948,4 AM
Redman,Rap,1947,Yesh Yesh Ya'll
Wilco,RnB,1945,Standing O
The Weakerthans,Rock,1943,(Manifest)
BT,Electronic,1939,Every Other Way
Thieves Like Us,Rap,1937,Fatima
Efterklang,Electronic,1929,Himmelbjerget
Zebrahead,Rock,1929,The Junkie and the Halo
Tilly and the Wall,Rock,1929,Lost Girls
Cássia Eller,Rock,1926,Por Enquanto
India.Arie,RnB,1919,I See God In You
The Aquabats,Reggae,1918,Pool Party
Swimming with Dolphins,RnB,1917,Silhouettes
The Devil Makes Three,Country,1916,Old Number Seven
Jon Hopkins,Electronic,1915,A Drifting Up
The Acacia Strain,Metal,1910,Carbomb
Skye Sweetnam,Pop,1890,Tangled Up In Me
Karunesh,New Age,1887,Morning Celebration
The Allman Brothers Band,Rock,1883,It's Not My Cross To Bear
Datarock,Electronic,1882,Ugly Primadonna
Theory of a Deadman,Pop,1880,Invisible Man
Backstreet Boys,Pop,1879,Quit Playing Games (With My Heart)
Shpongle,Electronic,1873,Room 23
Blues Image,Rock,1872,Ride Captain Ride
Ben Kweller,Rock,1871,Wasted & Ready
Wir sind Helden,Pop,1870,Wütend Genug
Daughtry,Rock,1869,There and Back Again
Santana,Rock,1869,Wishing It Was
Tom Waits,Country,1868,It's Over
Black Tide,Metal,1867,Hit The Lights
Frou Frou,Electronic,1855,Psychobabble
Busta Rhymes,Rap,1849,Break Ya Neck
Gillian Welch,Country,1849,Red Clay Halo
Miss Kittin,Electronic,1837,Metalhead
Our Lady Peace,Rock,1836,Lying Awake
My Dying Bride,Metal,1836,And My Fury Stands Ready
Chicane,Electronic,1828,Offshore '97
Gavin DeGraw,Rock,1826,Chemical Party
Joe Nichols,RnB,1825,The Impossible
Pnau,Electronic,1825,Wild Strawberries
N.W.A,Rap,1825,A Bitch Iz a Bitch
Baroness,Metal,1825,O'Appalachia
Infected Mushroom,Rock,1823,Selecta
Alice Cooper,Rock,1819,Billion Dollar Babies
2 Live Crew,Rap,1818,Me So Horny
Gang Starr,Rap,1815,The Planet
Timbaland,Rap,1815,Oh Timbaland
Wintersun,Metal,1815,Sleeping Stars
The Cat Empire,Rock,1808,The Wine Song
June Carter Cash,Country,1807,Keep on the Sunny Side
Chinese Man,Electronic,1804,I've Got That Tune
Austrian Death Machine,Metal,1802,"Here Is Subzero, Now Plain Zero"
Squeeze,Rock,1798,Black Coffee In Bed
Camel,Rock,1794,Aristillus
Eyes Set to Kill,Rock,1794,Give You My All
2562,Electronic,1793,Enforcers
Junip,Rock,1791,Chugga-Chugga
Flunk,Electronic,1788,Skysong
Wax Tailor,Electronic,1787,Stay Tuned
Sodom,Rock,1785,Don't Walk Away
Fergie,Pop,1783,Labels Or Love
Ashlee Simpson,Pop,1782,Giving It All Away
Bleeding Through,Metal,1778,Reborn from Isolation
Jaymay,Folk,1778,You Are The Only One I Love
Neko Case,Country,1777,If You Knew
Big L,Rap,1775,"No Endz, No Skinz"
MGMT,Pop,1775,Electric Feel
Mary J. Blige,Rock,1771,Take Me As I Am
James,Rap,1769,She's A Star
Elvis Costello,Rock,1765,Miracle Man
The Beta Band,Rock,1761,Round The Bend
Archive,Electronic,1756,Man-Made
The Antlers,Rock,1754,Every Night My Teeth Are Falling Out
Future Prophecies,Electronic,1745,Warlords Rising
Sinéad O'Connor,Rock,1743,Mandinka
平沢進,Electronic,1742,Mediational Field
Wavves,Rock,1736,Sun Opens My Eyes
Souad Massi,World,1736,Raoui
Hieroglyphics,Rap,1733,You Never Knew
Barry White,Rock,1731,"Never, Never Gonna Give You Up"
عمر دياب,World,1730,Nour El Ain
Stereolab,Rock,1729,The Noise of Carpet
Giulia y Los Tellarini,Pop,1727,Barcelona
Amy Macdonald,Pop,1727,A Wish For Something More
Hannah Montana,Pop,1724,You'll Always Find Your Way Back Home
Jackie DeShannon,Jazz,1721,What The World Needs Now Is Love
Cute Is What We Aim For,Rock,1721,Time
Sage Francis,Rap,1717,Jah Didn't Kill Johnny
Jill Scott,RnB,1714,A Long Walk
Funkadelic,RnB,1714,One Nation Under a Groove
Andy McKee,Pop,1714,When She Cries
Enslaved,Pop,1712,The Beacon
Sheryl Crow,Pop,1709,I Shall Believe
Tiger Lou,Rock,1704,Nixon
Kate Voegele,Pop,1702,Kindly Unspoken
Charlotte Gainsbourg,Rock,1701,Greenwich Mean Time
Three 6 Mafia,Rap,1700,Poppin' My Collar
Lukid,Electronic,1697,Chord
Orphaned Land,Metal,1697,In Thy Never Ending Way (Epilogue)
Mike Oldfield,Rock,1696,Portsmouth
Iglu & Hartly,Rock,1693,In This City
Vashti Bunyan,Folk,1693,I'd Like to Walk Around in Your Mind
Huey,Rap,1690,"Pop, Lock & Drop It"
"Oh, Sleeper",Metal,1686,Son Of The Morning
John Denver,Pop,1685,Leaving on a Jet Plane
Wet Wet Wet,Rock,1684,Love Is All Around
Brazilian Girls,Electronic,1682,Le Territoire
Emilíana Torrini,Rock,1679,Big Jumps
"Hamilton, Joe Frank & Reynolds",Rock,1677,Don't Pull Your Love
jj,Pop,1674,Me & Dean
Parliament,RnB,1673,Night Of The Thumpasorus Peoples
Otis Redding,RnB,1670,Merry Christmas Baby
Groove Armada,Rock,1669,My Friend
Jethro Tull,Electronic,1666,Aqualung
William Orbit,Electronic,1661,Barber's Adagio For Strings
The Mountain Goats,Rock,1660,This Year
Samantha James,Rock,1654,Breathe You In
Amy Adams,Pop,1654,That's How You Know
Suicide Commando,Electronic,1648,Neuro Suspension
Promoe,Rap,1645,These Walls Don't Lie
The Dandy Warhols,Rock,1642,Everyone Is Totally Insane
Tony Yayo,Rap,1641,So Seductive
Obie Trice,Rap,1637,Pistol Pistol (Remix)
Dream Theater,Metal,1636,Take the Time
65daysofstatic,Electronic,1634,Crash Tactics
Babylon Circus,Reggae,1634,No Competition
Heatmiser,Rock,1634,Plainclothes Man
Saul Williams,Rock,1632,Black History Month
Dance Gavin Dance,Rock,1632,We Own The Night
Simply Red,RnB,1628,If You Don't Know Me by Now
Scorpions,Rock,1628,Alien Nation
The Sonics,Rock,1627,The Witch
Sondre Lerche,Rock,1627,Suffused With Love
It Dies Today,Metal,1624,"Through Leaves, Over Bridges"
Fuck Buttons,Electronic,1620,New Crossbow
Zomby,Electronic,1609,Mu5h
Norther,Metal,1608,Always & Never
Breaking Benjamin,Electronic,1603,Give Me A Sign
Lee Ann Womack,Pop,1601,I Hope You Dance
Rozalla,Pop,1599,Everybody's Free
Peace Orchestra,Pop,1597,Who Am I
36 Crazyfists,Metal,1593,Northern November
Sweet,Rock,1592,Little Willy
Waldeck,Electronic,1591,The Night Garden
Late Night Alumni,Electronic,1591,Empty Streets
Sido,Rap,1590,Ghettoloch
Perturbator,Rap,1589,God Complex
Keren Ann,Pop,1587,La Tentation
Subway to Sally,Rock,1586,Traum vom Tod
Gordon Lightfoot,Folk,1584,Canadian Railroad Trilogy
Arch Enemy,Electronic,1582,Enter The Machine
Raffertie,Rap,1578,Build Me Up
Fugees,Rap,1576,How Many Mics
Lynyrd Skynyrd,Rock,1576,All I Can Do Is Write About It
Apocalyptica,Electronic,1574,Delusion
CocoRosie,Rock,1570,Good Friday
Skindred,Rock,1567,Kill the Power
Alexi Murdoch,Pop,1565,Through The Dark
The Gathering,Metal,1565,Fear the Sea
Madonna,Rock,1564,Like a Virgin
Phil Collins,Rock,1563,Can't Find My Way
The Wonder Years,Rock,1562,My Geraldine Lies Over the Delaware
Terri Clark,Country,1554,I Wanna Do It All
The Castaways,Pop,1553,"Liar, Liar"
Captain Beefheart & His Magic Band,Rock,1548,My Human Gets Me Blues
Ferras,Pop,1543,Hollywood's Not America
Marvin Gaye,Rock,1541,Please Stay (Once You Go Away)
The Pharcyde,Rap,1541,On The DL
Silverstein,Rock,1536,A Hero Loses Everyday
Julianne Hough,Country,1535,My Hallelujah Song
Peaches,Rock,1535,Trick or Treat
1200 Micrograms,Electronic,1533,Magic Mushrooms
Depeche Mode,Electronic,1532,Freestate
Dark Tranquillity,Metal,1531,On Your Time
Maroon 5,Rock,1529,Secret
Conjure One,Electronic,1528,Damascus
Mac DeMarco,Rock,1528,Blue Boy
The Acorn,Rock,1527,Hold Your Breath
Ott,Electronic,1525,From Trunch To Stromness
Mission of Burma,Rock,1521,New Nails
A Tribe Called Quest,Rap,1521,Like It Like That
Simple Plan,Pop,1520,I Won't Be There
Blind Faith,Rock,1515,Well All Right
The Concretes,Rock,1513,Sunbeams
Karen Elson,Rock,1511,The Ghost Who Walks
Ryan Leslie,RnB,1510,How It Was Supposed To Be
Steve Miller Band,Rock,1508,True Fine Love
Johnny Gill,RnB,1508,"My, My, My"
Anarbor,Rock,1507,Where The Wild Things Are (Monsters)
Anya Marina,Pop,1507,Miss Halfway
The Chemical Brothers,Pop,1504,Under The Influence
Montgomery Gentry,Country,1504,If You Ever Stop Loving Me
Clinic,Rock,1499,2nd Foot Stomp
Flaw,Rock,1496,Decide
Jonny Lang,Blues,1489,Before You Hit The Ground
The Haunted,Metal,1485,One Kill Wonder
Melody Club,Pop,1483,Fever Fever
blink-182,Electronic,1481,Rock Show
"Medeski, Martin and Wood",Jazz,1477,Shine it
Guillemots,Rock,1476,Redwings
Sharon Van Etten,Pop,1475,Taking Chances
Louie Austen,Electronic,1475,Glamour Girl
Johnny Cash,Rock,1473,(Ghost) Riders in the Sky
Irie Révoltés,Reggae,1473,mouvement
The Courteeners,Rock,1468,"Yesterday, Today & Probably Tomorrow"
Aimee Mann,Rock,1468,Real Bad News
Foxygen,Folk,1468,San Francisco
Stereophonics,Rock,1467,Daisy Lane
El Gran Silencio,Latin,1466,Dormir Soñando
Chuck Berry,Rock,1464,No Particular Place to Go
Sammy Kershaw,Country,1461,Queen Of My Double Wide Trailer
Talking Heads,Rock,1457,Electric Guitar
CHVRCHES,Rock,1456,Graves
Harold Budd,Electronic,1452,The Real Dream of Sails
John Prine,Folk,1450,Lake Marie
Ray Lynch,New Age,1448,Celestial Soda Pop
Chase & Status,Electronic,1447,Saxon
Jan Delay,RnB,1447,Gasthaus zum lachenden Stalin
Kruder & Dorfmeister,Electronic,1445,Black Baby
will.i.am,Pop,1445,Scream & Shout
Those Dancing Days,Rock,1443,Dischoe
Angtoria,Metal,1442,Hell Hath No Fury Like a Woman Scorned
Antimatter,Rock,1439,Another Face in a Window
mclusky,Rock,1439,Whiteliberalonwhiteliberalaction
Glass Candy,Electronic,1436,Last Nite I Met a Costume
Avenged Sevenfold,Metal,1436,I Won't See You Tonight Part 2
Selena Gomez & the Scene,Pop,1432,Stop & Erase
Jamal,Reggae,1431,"Halo, Halo"
The Doobie Brothers,Rock,1430,China Grove
Alex Gopher,Electronic,1430,The Child
The Rolling Stones,Pop,1429,Some Girls
Peter Tosh,Reggae,1428,Mystic Man
For Today,Metal,1424,A Higher Standard
The Zutons,Rock,1423,Tired Of Hanging Around
Acid Bath,Metal,1421,Old Skin
Tristan Prettyman,Pop,1418,War Out Of Peace
Mariah Carey,Rock,1413,I Want to Know What Love Is
Molotov,Rock,1409,Matate Tete
Hawk Nelson,Rock,1405,The One Thing I Have Left
Shayne Ward,Pop,1401,That's My Goal
Depeche Mode,Rock,1401,Black Celebration
Scooter,Pop,1401,J'Adore Hardcore
Cherish,RnB,1400,Unappreciated
Distance,Electronic,1400,Cella
Pig Destroyer,Metal,1397,Snuff Film At Eleven
Guttermouth,Punk,1392,End On 9
Angie Stone,RnB,1390,Brotha
The Bluetones,Rock,1389,Bluetonic
Hall & Oates,Pop,1388,Private Eyes
Hot Water Music,Punk,1388,Alright for Now
Cansei de Ser Sexy,Rock,1386,Believe Achieve
Oi Va Voi,World,1386,S'Brent
Gustavo Santaolalla,Latin,1385,De Usuahia a la Quiaca
Bruce Springsteen,Electronic,1384,No Surrender
Phoenix,Electronic,1384,Lisztomania (Classixx Version)
Susheela Raman,World,1383,Mamavatu
Eric Burdon & The Animals,Rock,1383,San Franciscan Nights
Chris Thomas King,Blues,1382,Hard Time Killing Floor Blues
Ocean Colour Scene,Rock,1375,Hundred Mile High City
Gorillaz,Pop,1373,The Swagga
Fightstar,Rock,1372,Deathcar
Pohlmann.,Pop,1368,Mädchen Und Rabauken
Steppenwolf,Rock,1366,Everybody's Next One
Mudvayne,Metal,1364,Lethal Dosage
Anti-Flag,Punk,1361,That's Youth
Radiohead,Reggae,1360,The Tourist
Andrew W.K.,Rock,1358,Got To Do It
Trent Reznor and Atticus Ross,Country,1355,Almost Home
Robert Wyatt,Pop,1354,Sea Song
Hey Monday,Rock,1351,6 Months
De-Phazz,Electronic,1350,Saw It On the Radio
Eyehategod,Metal,1350,Story Of The Eye
Gwen Stefani,Rock,1348,The Real Thing
Philip Glass,New Age,1347,November 25: Morning
Sébastien Tellier,Electronic,1346,Fingers Of Steel
Slave,RnB,1343,Just A Touch Of Love
Renan Luce,Pop,1341,Je Suis Une Feuille
Metallica,Rap,1340,Where The Wild Things Are
Emmylou Harris,Country,1338,A Love That Will Never Grow Old
Avril Lavigne,Pop,1337,Girlfriend
Clap Your Hands Say Yeah,Rock,1335,Is This Love?
Veruca Salt,Rock,1334,Shutterbug
Mortiis,Metal,1327,Antimental
This Providence,Rock,1326,Walking On Water
Bad Brains,Punk,1322,F.V.K.
Framing Hanley,Rock,1320,23 Days
Touché Amoré,Rock,1320,Amends
Peter Gabriel,Jazz,1316,Mercy Street
Wagon Christ,Electronic,1316,Thick Stew
Mistabishi,Electronic,1315,The Light's Really Bad
Jack Peñate,Electronic,1309,Run For Your Life
Richard Hawley,Rock,1308,Tonight The Streets Are Ours
Rakim,Rap,1307,The Saga Begins
2Pac,Rap,1303,Holla At Me
Rachael Yamagata,Pop,1302,Letter Read
Air Traffic,Rock,1300,Get In Line
Morbid Angel,Folk,1300,Melting
The Sword,Rock,1299,Night City
The Replacements,Rock,1296,I'll Buy
Surkin,Electronic,1295,Radio Fireworks
The Smashing Pumpkins,Rock,1295,Eye
Hayley Westenra,Pop,1295,Across the Universe of Time
Slipknot,Metal,1294,My Plague
16 Horsepower,Country,1291,Pure Clob Road
The Divine Comedy,Pop,1290,National Express
Danny Elfman,Rock,1289,Jack's Obsession
Boy,Rock,1289,Railway
Beginner,Rap,1288,Stift Her
Mulatu Astatke,Jazz,1287,Yèkèrmo sèw
Andrés Calamaro,Latin,1286,Tuyo Siempre
El Perro del Mar,Pop,1285,God Knows (You Gotta Give To Get)
The Big Pink,Rock,1283,Dominos
"Earth, Wind & Fire",RnB,1282,Can't Hide Love
Kelly Clarkson,Rock,1280,Heartbeat Song
Agonoize,Electronic,1278,open the gate
Dark New Day,Jazz,1278,That's Enough
Priscilla Ahn,Pop,1277,Find My Way Back Home
Danko Jones,Rock,1273,Play the Blues
Carcass,Metal,1270,Corporal Jigsore Quandary
Everything But the Girl,Electronic,1268,Walking Wounded (Omni Trio remix)
J Dilla,Pop,1268,Welcome To The Show
Document One,Rap,1268,Clap
The Polyphonic Spree,Rock,1266,Soldier Girl
Monolake,Electronic,1265,Digitalis
MF DOOM,Rap,1263,Fillet-O-Rapper
IAMX,Electronic,1262,Tear Garden
The Modern Lovers,Rock,1262,Old World
The Rifles,Rock,1255,Local Boy
New Found Glory,Rap,1253,Make Your Move
The Dandy Warhols,Rap,1252,Smoke It
Wild Belle,Electronic,1251,Backslider
Thurston Moore,Rock,1244,Tranquilizer
John Brown's Body,Reggae,1239,33 RPM
Dead Poetic,Rock,1238,Modern Morbid Prophecies
Russian Circles,Rock,1237,Micah
Vanessa Paradis,Pop,1237,Dès Que J'Te Vois
Saga,Rock,1233,Wind Him Up
Panda Bear,Rock,1232,Tomboy
Jasmine Thompson,Rock,1230,Rather Be
Eluveitie,Rock,1229,Sacrapos - The Disparaging Last Gaze
Toots and The Maytals,Reggae,1228,One Eye Enos
Beats Antique,World,1222,Tabla Toy
Margot & the Nuclear So and So's,Rock,1221,Paper Kitten Nightmare
ABBA,Rock,1220,One of Us
The Calling,Rock,1218,Things Don't Always Turn Out That Way
Hooverphonic,Electronic,1218,Pink Fluffy Dinosaurs
Craig Armstrong,Electronic,1217,Weather Storm
Au Revoir Simone,Pop,1213,Stay Golden
Big D And The Kids Table,Reggae,1212,I'd Rather
Il Divo,Pop,1208,Heroe
The Faint,Rock,1205,Cars Pass in Cold Blood
Ayria,Electronic,1205,Cutting
Pixie Lott,Pop,1204,Nothing Compares
Sugar Ray,Rock,1203,Every Morning
Derrick Morgan,Reggae,1202,Blazing Fire
Cat Power,Metal,1197,Metal Heart
NEEDTOBREATHE,Electronic,1196,More Time
Moloko,Electronic,1195,Butterfly 747
Goran Bregović,World,1194,Scena Pojavljivanja majke
Sentenced,Metal,1194,Moon Magick
Dirty Vegas,Electronic,1192,Throwing Shapes
Joe Satriani,Rock,1191,Crowd Chant
Calexico,Rock,1187,Vinegaroon
Into Eternity,Metal,1187,A Past Beyond Memory
Joni Mitchell,Folk,1186,Refuge of the Roads
Cypress Hill,Rap,1184,Light Another
One Day as a Lion,Rock,1182,Wild International
Fake Blood,Rock,1181,I Think I Like It
Mariah Carey,Pop,1179,We Belong Together
British Sea Power,Rock,1174,The Great Skua
Sarah Blasko,Pop,1166,We Won't Run
Pantera,Rock,1163,Floods
Real Estate,Electronic,1163,Crime
Nathan Fake,Electronic,1161,Underberg
Peter Green,Rock,1157,A Fool No More
Lisa Loeb,Pop,1155,Fools Like Me
Collie Buddz,Reggae,1153,Blind To You
Spiritualized,Rock,1153,Electric Mainline
Motionless in White,Rap,1153,Devil's Night
Lunatic Soul,Rock,1152,Near Life Experience
The Blues Brothers,Blues,1152,Going Back to Miami
Kurt Vile,Rock,1149,In My Time
Saxon,Rock,1147,Crusader
Chrisette Michele,RnB,1146,If I Have My Way
Snowden,Rock,1146,Anti-Anti
EPMD,Rap,1145,Let The Funk Flow
Richie Spice,Reggae,1144,Youth Dem Cold
Patti Smith,Rock,1143,Dancing Barefoot
The Charlatans,Rock,1142,The Misbegotten
Stray Cats,Rock,1141,Runaway Boys
Federico Aubele,Latin,1135,Postales
Breakbot,RnB,1134,Baby I'm Yours
Moving Mountains,Rock,1133,8105
Panic! at the Disco,Rock,1126,Casual Affair
Vangelis,New Age,1124,Dream in an Open Place
Nitzer Ebb,Pop,1124,For Fun
The Specials,Reggae,1123,Blank Expression
Gustavo Santaolalla,World,1120,Desert Bus Ride
Fink,Jazz,1118,Make It Good
Bandits of the Acoustic Revolution,Reggae,1118,This Is a Call to Arms
Dungen,Rock,1115,Familj
Noisettes,Rock,1115,Mind The Gap
My Bloody Valentine,Rock,1114,Only Shallow
Astrud Gilberto,Jazz,1113,Fly Me To The Moon
Blondie,Reggae,1110,The Tide Is High
The Count Five,Rock,1110,Psychotic Reaction
Camille,Pop,1110,Janine 2
RJD2,Rap,1109,Let There Be Horns
Eric Prydz,Electronic,1107,Pjanoo (High Contrast Remix)
In Extremo,Rock,1103,Sefardim
Maria Mena,Rock,1103,Miss You Love
Heatwave,Pop,1103,Boogie Nights
Evangelicals,Rock,1101,Skeleton Man
Joy Division,Rock,1101,The Eternal
Piano Magic,Rock,1101,Your Ghost
Radiohead,Jazz,1099,Knives Out
Michael Jackson,Pop,1097,I Can't Help It
Peeping Tom,Rock,1095,Caipirinha (feat. Bebel Gilberto)
Circa Survive,Rock,1095,Strange Terrain
Green Day,Electronic,1095,Castaway
Adolescents,Punk,1093,I Hate Children
Téléphone,Rock,1092,Un autre monde
A Sunny Day In Glasgow,Rock,1092,The Best Summer Ever
Sublime,Reggae,1090,Rivers Of Babylon
Godsmack,Metal,1089,Spiral
Billy Idol,Rock,1086,Don't Need A Gun
Beulah,Rock,1082,Night Is the Day Turned Inside Out
Pink Floyd,Pop,1081,High Hopes
Pink Floyd,Rock,1080,See Emily Play
Shantel,Pop,1074,Sota
Dan Deacon,Electronic,1074,Snookered
The Herbaliser,Electronic,1072,Scratchy Noise
Fenech-Soler,Electronic,1072,The Cult of Romance
Covenant,Electronic,1072,We Stand Alone
Alkaline Trio,Rock,1071,Do You Wanna Know?
Buckcherry,Rock,1070,For The Movies
Sparklehorse,Rock,1069,Little Bastard Choo Choo
Tim Armstrong,Reggae,1068,Inner City Violence
In Flames,Pop,1065,Take This Life
Bobbi Humphrey,Jazz,1062,Harlem River Drive
Teenage Fanclub,Rock,1061,I Don't Want Control Of You
Grandmaster Flash,Rock,1061,White Lines
Ali Farka Touré,World,1060,Allah Uya
The Offspring,RnB,1059,I Choose
Dub Incorporation,Reggae,1059,My Freestyle
Metallica,Rock,1058,Cure
Macy Gray,RnB,1057,Sex-o-matic Venus Freak
Ennio Morricone,Rock,1055,Remorse
Kode9,Electronic,1054,2 Far Gone
Thom Yorke,Electronic,1054,Cymbal Rush (The Field Late Night Essen Und Trinken Remix)
Protest the Hero,Metal,1053,Limb from Limb
Eisbrecher,Electronic,1047,Der Anfang
Miss Kittin & The Hacker,Electronic,1047,Slow Track
Rhapsody of Fire,Metal,1047,Lost in Cold Dreams
Beach House,Electronic,1046,Irene
Supreme Beings of Leisure,Electronic,1045,You're Always the Sun
Jah Cure,Reggae,1042,What Will It Take
Émilie Simon,Electronic,1037,The Frozen World
Kanye West,Rock,1034,Street Lights
The Album Leaf,Rock,1030,Writings On The Wall
Hard-Fi,Rock,1029,Help Me Please
The Undertones,Rock,1029,Here Comes the Summer
Mamonas Assassinas,Rock,1027,Robocop Gay
Christophe Maé,Pop,1026,On s'attache
The O'Jays,Electronic,1026,I Love Music
The Who,Rock,1024,Too Much of Anything
Israel Vibration,Rock,1023,Get Up And Go
Lisa Hannigan,Pop,1022,Splishy Splashy
Demi Lovato,Rap,1022,Don't Forget
UNKLE,Electronic,1021,Outro (Mandatory)
Zebrahead,Punk,1019,Morse Code for Suckers
Black Flag,Punk,1018,My War
Celldweller,Pop,1017,I Believe You
Eddy Grant,Reggae,1017,I Don't Wanna Dance
Johnny Cash,Country,1017,Streets Of Laredo
Kids in Glass Houses,Rock,1016,"Me, Me, Me"
Selena Gomez,Rap,1016,Feel Me
ASHES dIVIDE,Rock,1015,Stripped Away
Christina Milian,Rock,1015,Say I
Red Hot Chili Peppers,Electronic,1014,Can't Stop
Ramona Falls,Rock,1011,The Darkest Day
Anggun,Pop,1011,Snow On The Sahara
a-ha,Pop,1010,Minor Earth Major Sky
Mumford & Sons,Pop,1010,Where Are You Now
Jóhann Jóhannsson,Electronic,1009,The Great God Pan is Dead
Harvey Danger,Rock,1008,Little Round Mirrors
The Tea Party,Rock,1008,The Bazaar
Illumination,Electronic,1006,Cookie Raver
Frankie Valli & the Four Seasons,Rap,1005,Walk Like A Man
Behemoth,Rock,1002,As Above So Below
The Eames Era,Rock,1000,Could Be Anything
Lamb,Rock,1000,All In Your Hands
Laibach,Electronic,1000,Germania
Adam Green,Rock,999,Choke on a Cock
Port O'Brien,Rock,998,My Will Is Good
Tricky,Rap,995,Ghetto Youth
Helloween,Pop,994,A Little Time
Gabriel Fauré,Pop,993,Pie Jesu
Scissor Sisters,Rock,993,Ooh
Drive-By Truckers,Rock,991,Outfit
Belleruche,Jazz,990,Bird Mess
Red Hot Chili Peppers,Pop,990,Under the Bridge
Masterplan,Metal,987,When Love Comes Close
The Wombats,Metal,986,1996
Skunk Anansie,Rock,986,Charity
The Beach Boys,Rock,986,'Til I Die
Engenheiros Do Hawaii,Rock,986,Somos Quem Podemos Ser
Evergrey,Metal,983,Monday Morning Apocalypse
Boxcutter,Electronic,982,Mossy
Marvin Gaye,RnB,981,Your Precious Love
Linkin Park,Metal,981,Wake
Vince Guaraldi Trio,Jazz,979,Charlie Brown Theme
Daughter,Rock,978,New Ways
Weather Report,Jazz,978,The Juggler
Foo Fighters,RnB,973,T-Shirt
Behemoth,Metal,973,The Sermon to the Hypocrites
ストレイテナー,Rock,971,REMINDER
School of Seven Bells,Rock,971,My Cabal
Angels & Airwaves,Metal,970,Distraction
The Be Good Tanyas,Folk,967,The Littlest Birds
Train,Rock,966,Meet Virginia
Umbra Et Imago,Reggae,966,Actions Speak Louder Than Words
Ash,Rock,965,Walking Barefoot
Mark Wills,Country,965,I Do (Cherish You)
September,Pop,963,Looking For Love
Nas,Rap,961,Halftime
Joe Bonamassa,Blues,956,The Ballad of John Henry
Frou Frou,Rock,955,Breathe In
Justin Nozuka,Folk,955,I'm In Peace
Queen,Pop,952,Don't Stop Me Now
Hüsker Dü,Rock,951,I Don't Know for Sure
Mustard Plug,Reggae,949,"Someday, Right Now"
Allister,Rock,948,Better Late Than Forever
Gipsy Kings,Latin,945,Pida Me La
4hero,Electronic,945,Golden Age Of Life
Astral Projection,Electronic,943,Radial Blur
D'Angelo,RnB,940,Jonz In My Bonz
Zeromancer,Electronic,938,Need You Like a Drug
Mike Posner,RnB,938,Please Don't Go
Dead By Sunrise,Rock,938,End Of The World
Mother Love Bone,Rock,937,Mr. Danny Boy
David Allan Coe,Country,936,Longhaired Redneck
Bad Manners,Reggae,935,Sally Brown
